longitude,latitude,housing_median_age,median_income,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN,room_bedroom_ratio,avg_rooms_per_household,people_per_household,median_house_value
-122.23,37.88,41,8.3252,0,0,1,0,6.821705426,6.984126984,2.555555556,452600
-122.22,37.86,21,8.3014,0,0,1,0,6.418625678,6.238137083,2.109841828,358500
-122.24,37.85,52,7.2574,0,0,1,0,7.721052632,8.288135593,2.802259887,352100
-122.25,37.85,52,5.6431,0,0,1,0,5.421276596,5.817351598,2.547945205,341300
-122.25,37.85,52,3.8462,0,0,1,0,5.810714286,6.281853282,2.181467181,342200
-122.25,37.85,52,4.0368,0,0,1,0,4.314553991,4.761658031,2.139896373,269700
-122.25,37.84,52,3.6591,0,0,1,0,5.18404908,4.931906615,2.128404669,299200
-122.25,37.84,52,3.12,0,0,1,0,4.518195051,4.797527048,1.788253478,241400
-122.26,37.84,42,2.0804,0,0,1,0,3.842105263,4.294117647,2.026890756,226700
-122.25,37.84,52,3.6912,0,0,1,0,5.01980198,4.970588235,2.172268908,261100
-122.26,37.85,52,3.2031,0,0,1,0,5.073732719,5.47761194,2.263681592,281500
-122.26,37.85,52,3.2705,0,0,1,0,4.658244681,4.772479564,2.049046322,241800
-122.26,37.85,52,3.075,0,0,1,0,5.255274262,5.322649573,2.346153846,213500
-122.26,37.84,52,2.6736,0,0,1,0,3.643979058,4,1.982758621,191300
-122.26,37.85,52,1.9167,0,0,1,0,4.222044728,4.262903226,1.95483871,159200
-122.26,37.85,50,2.125,0,0,1,0,3.957597173,4.242424242,2.640151515,140000
-122.27,37.85,52,2.775,0,0,1,0,5.665706052,5.939577039,2.395770393,152500
-122.27,37.85,52,2.1202,0,0,1,0,4.19112628,4.052805281,2.138613861,155500
-122.26,37.84,50,1.9911,0,0,1,0,4.920879121,5.343675418,2.362768496,158700
-122.27,37.84,52,2.6033,0,0,1,0,5.043624161,5.465454545,2.509090909,162900
-122.27,37.85,40,1.3578,0,0,1,0,4.081521739,4.524096386,2.463855422,147500
-122.27,37.85,42,1.7135,0,0,1,0,4.465940054,4.478142077,2.538251366,159800
-122.27,37.84,52,1.725,0,0,1,0,4.502772643,5.09623431,2.123430962,113900
-122.27,37.84,52,2.1806,0,0,1,0,5.008902077,5.193846154,2.624615385,99700
-122.27,37.84,52,2.6,0,0,1,0,5.089244851,5.27014218,2.383886256,132600
-122.28,37.85,41,2.4038,0,0,1,0,4.349593496,4.495798319,2.663865546,107500
-122.28,37.85,49,2.4597,0,0,1,0,4.631147541,4.728033473,2.539748954,93800
-122.28,37.85,52,1.808,0,0,1,0,4.508313539,4.780856423,2.77581864,105500
-122.28,37.84,50,1.6424,0,0,1,0,4.231707317,4.401691332,2.391120507,108900
-122.28,37.84,52,1.6875,0,0,1,0,4.55625,4.703225806,2.548387097,132000
-122.28,37.84,49,1.9274,0,0,1,0,4.286353468,5.068783069,2.283068783,122300
-122.28,37.84,52,1.9615,0,0,1,0,4.476091476,4.882086168,2.648526077,115200
-122.27,37.84,48,1.7969,0,0,1,0,4.699266504,5.737313433,3.062686567,110400
-122.27,37.83,49,1.375,0,0,1,0,4.521857923,5.030395137,2.291793313,104900
-122.27,37.83,51,2.7303,0,0,1,0,4.642857143,4.972014925,2.347014925,109700
-122.27,37.83,49,1.4861,0,0,1,0,4.308510638,4.602272727,2.159090909,97200
-122.27,37.83,48,1.0972,0,0,1,0,4.162037037,4.807486631,2.639037433,104500
-122.28,37.83,52,1.4103,0,0,1,0,3.874358974,3.749379653,2.23573201,103900
-122.26,37.83,52,3.48,0,0,1,0,4.454545455,4.757281553,2.229773463,191400
-122.26,37.83,52,2.5898,0,0,1,0,3.401398601,3.494252874,1.978448276,176000
-122.26,37.83,52,2.0978,0,0,1,0,3.973747017,4.215189873,2.394936709,155400
-122.26,37.83,51,1.2852,0,0,1,0,3.009646302,3.759036145,2.076305221,150000
-122.26,37.84,49,1.025,0,0,1,0,3.52970297,3.772486772,2.444444444,118800
-122.26,37.84,52,3.9643,0,0,1,0,4.702970297,4.797979798,2.358585859,188800
-122.26,37.83,52,3.0125,0,0,1,0,4.639871383,4.941780822,2.260273973,184400
-122.26,37.83,52,2.6768,0,0,1,0,3.942857143,4.335078534,1.879581152,182300
-122.26,37.83,50,2.026,0,0,1,0,3.49378882,3.700657895,2.026315789,142500
-122.27,37.82,43,1.7348,0,0,1,0,3.227564103,3.980237154,2.205533597,137500
-122.26,37.82,40,0.9506,0,0,1,0,3.2,3.9,2.64375,187500
-122.27,37.82,40,1.775,0,0,1,0,2.522666667,2.6875,1.988636364,112500
-122.27,37.82,21,0.9218,0,0,1,0,1.977924945,2.0456621,1.678082192,171900
-122.27,37.82,43,1.5045,0,0,1,0,4.096491228,4.58968059,2.606879607,93800
-122.27,37.82,41,1.1108,0,0,1,0,3.776084408,4.473611111,2.720833333,97500
-122.27,37.82,52,1.2475,0,0,1,0,3.574561404,4.075,2.905,104200
